NMFS_DNA_ID,sample_type,repunit,collection
NF000473,reference,Semidi,Semidi
NF000474,reference,Semidi,Semidi
NF000475,reference,Pribilof,Pribilof
NF000477,reference,Pribilof,Pribilof
NF000478,reference,Pribilof,Pribilof
NF000479,reference,Pribilof,Pribilof
NF000480,reference,Pribilof,Pribilof
NF000481,reference,Pribilof,Pribilof
NF000482,reference,Pribilof,Pribilof
NF000483,reference,Pribilof,Pribilof
NF000484,reference,Pribilof,Pribilof
NF000485,reference,Pribilof,Pribilof
NF000486,reference,Pribilof,Pribilof
NF000487,reference,Pribilof,Pribilof
NF000488,reference,Pribilof,Pribilof
NF000489,reference,Pribilof,Pribilof
NF000490,reference,Pribilof,Pribilof
NF000491,reference,Pribilof,Pribilof
NF000492,reference,Pribilof,Pribilof
NF000493,reference,Pribilof,Pribilof
NF000494,reference,Pribilof,Pribilof
NF000495,reference,Pribilof,Pribilof
NF000496,reference,Pribilof,Pribilof
NF000497,reference,Pribilof,Pribilof
NF000498,reference,Pribilof,Pribilof
NF000499,reference,Pribilof,Pribilof
NF000500,reference,Pribilof,Pribilof
NF000501,reference,Pribilof,Pribilof
NF000502,reference,Pribilof,Pribilof
NF000504,reference,Pribilof,Pribilof
NF000505,reference,Pribilof,Pribilof
NF000507,reference,Pribilof,Pribilof
NF000508,reference,Pribilof,Pribilof
NF000509,reference,Pribilof,Pribilof
NF000511,reference,Pribilof,Pribilof
NF000512,reference,Pribilof,Pribilof
NF000513,reference,Pribilof,Pribilof
NF000514,reference,Pribilof,Pribilof
NF000515,reference,Pribilof,Pribilof
NF000516,reference,Pribilof,Pribilof
NF000517,reference,Pribilof,Pribilof
NF000518,reference,Pribilof,Pribilof
NF000519,reference,Pribilof,Pribilof
NF000520,reference,Pribilof,Pribilof
NF000521,reference,Pribilof,Pribilof
NF000522,reference,Pribilof,Pribilof
NF000523,reference,Pribilof,Pribilof
NF000524,reference,Pribilof,Pribilof
NF000525,reference,Pribilof,Pribilof
NF000526,reference,Pribilof,Pribilof
NF000527,reference,Pribilof,Pribilof
NF000528,reference,Pribilof,Pribilof
NF000529,reference,Pribilof,Pribilof
NF000530,reference,Pribilof,Pribilof
NF000531,reference,Pribilof,Pribilof
NF000532,reference,Pribilof,Pribilof
NF000533,reference,Pribilof,Pribilof
NF000534,reference,Pribilof,Pribilof
NF000535,reference,Pribilof,Pribilof
NF000536,reference,Pribilof,Pribilof
NF000537,reference,Pribilof,Pribilof
NF000538,reference,Pribilof,Pribilof
NF000539,reference,Pribilof,Pribilof
NF000540,reference,Pribilof,Pribilof
NF000543,reference,Pribilof,Pribilof
NF000546,reference,Pribilof,Pribilof
NF000547,reference,Pribilof,Pribilof
NF000548,reference,Pribilof,Pribilof
NF000549,reference,Pribilof,Pribilof
NF000550,reference,Pribilof,Pribilof
NF000551,reference,Pribilof,Pribilof
NF000552,reference,Pribilof,Pribilof
NF000553,reference,Pribilof,Pribilof
NF000554,reference,Pribilof,Pribilof
NF000555,reference,Pribilof,Pribilof
NF000556,reference,Pribilof,Pribilof
NF000558,reference,Pribilof,Pribilof
NF000559,reference,Pribilof,Pribilof
NF000560,reference,Pribilof,Pribilof
NF000561,reference,Pribilof,Pribilof
NF000562,reference,Pribilof,Pribilof
NF000563,reference,Pribilof,Pribilof
NF000564,reference,Pribilof,Pribilof
NF000565,reference,Pribilof,Pribilof
NF000566,reference,Pribilof,Pribilof
NF000567,reference,Pribilof,Pribilof
NF000568,reference,Pribilof,Pribilof
NF000569,reference,Pribilof,Pribilof
NF000570,reference,Pribilof,Pribilof
NF000571,reference,Pribilof,Pribilof
NF000572,reference,Pribilof,Pribilof
NF000573,reference,Pribilof,Pribilof
NF000574,reference,Pribilof,Pribilof
NF000575,reference,Pribilof,Pribilof
NF000576,reference,Pribilof,Pribilof
NF000577,reference,Pribilof,Pribilof
NF000578,reference,Pribilof,Pribilof
NF000579,reference,Pribilof,Pribilof
NF000580,reference,Pribilof,Pribilof
NF000581,reference,Pribilof,Pribilof
NF000582,reference,Pribilof,Pribilof
NF000583,reference,Pribilof,Pribilof
NF000584,reference,Pribilof,Pribilof
NF000585,reference,Pribilof,Pribilof
NF000586,reference,Pribilof,Pribilof
NF000587,reference,Pribilof,Pribilof
NF000588,reference,Pribilof,Pribilof
NF000589,reference,Pribilof,Pribilof
NF000590,reference,Pribilof,Pribilof
NF000591,reference,Pribilof,Pribilof
NF000593,reference,Pribilof,Pribilof
NF000594,reference,Pribilof,Pribilof
NF000595,reference,Pribilof,Pribilof
NF000596,reference,Pribilof,Pribilof
NF000597,reference,Pribilof,Pribilof
NF000598,reference,Pribilof,Pribilof
NF000599,reference,Pribilof,Pribilof
NF000600,reference,StMatthew,StMatthew
NF000601,reference,StMatthew,StMatthew
NF000602,reference,StMatthew,StMatthew
NF000603,reference,StMatthew,StMatthew
NF000604,reference,StMatthew,StMatthew
NF000605,reference,StMatthew,StMatthew
NF000606,reference,StMatthew,StMatthew
NF000607,reference,StMatthew,StMatthew
NF000608,reference,StMatthew,StMatthew
NF000609,reference,StMatthew,StMatthew
NF000610,reference,StMatthew,StMatthew
NF000611,reference,StMatthew,StMatthew
