SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
10-0550,NF001996,StMatthew,0.992879419,0.899988592,1,1,9,breeding,59.61667,-175.29333,3647
10-0551,NF001997,StMatthew,0.999959392,-0.164939597,1,1,11,nonbreeding,59.18111,-177.43444,3648
10-0552,NF001998,Semidi,0.999869559,-0.468241175,1,1,11,nonbreeding,59.26194,-176.90528,3649
10-0556,NF002002,Semidi,0.999159788,1.061597494,1,1,10,nonbreeding,56.34167,-171.01667,
10-0558,NF002004,Pribilof,0.995507571,0.152178328,1,1,10,nonbreeding,51.95333,-171.965,
10-0561,NF002005,Semidi,0.96848527,0.350502355,1,1,8,breeding,59.5,-176.23333,
10-0563,NF002007,StMatthew,0.991002109,0.902906372,1,1,9,breeding,56.31666667,-165.7,3660
10-0564,NF002008,Semidi,0.999986269,-2.212929651,1,1,9,breeding,56.31666667,-165.7,3661
10-0566,NF002010,Chagulak,0.998403489,0.485686891,1,1,9,breeding,56.31666667,-165.7,
10-0567,NF002011,Pribilof,0.998881338,0.538502742,1,1,9,breeding,56.31666667,-165.7,
10-0570,NF002014,Semidi,0.977863513,0.286565796,1,1,11,nonbreeding,55.17,-164.51333,
10-0571,NF002015,Pribilof,0.997742626,-0.077458344,1,1,11,nonbreeding,59.235,-177.24667,
10-0580,NF002016,Semidi,0.998119741,-0.986648311,1,1,1,nonbreeding,55.88361,-163.1225,
10-0581,NF002017,StMatthew,0.978121627,-0.769749974,1,1,3,nonbreeding,55.53444,-156.74556,
10-0588,NF002018,Pribilof,0.998832743,0.143133721,1,1,9,breeding,59.61667,-175.29333,
10-0589,NF002019,Pribilof,0.999990804,1.722417492,1,1,9,breeding,59.61667,-175.29333,
10-0590,NF002020,Chagulak,0.999970675,0.55045904,1,1,9,breeding,59.61667,-175.29333,
10-0592,NF002022,Semidi,0.976178929,1.636242302,1,1,9,breeding,55.95,-163.34,
10-0594,NF002024,Chagulak,0.997200686,1.24319311,1,1,9,breeding,55.95,-163.34,
10-0595,NF002025,StMatthew,0.998409475,1.118915153,1,1,9,breeding,55.95,-163.34,
10-0596,NF002026,Semidi,0.981316043,0.529660273,1,1,8,breeding,60.79194,-176.32389,
10-0597,NF002027,Semidi,0.999571162,0.631628305,1,1,9,breeding,56.16222,-165.29917,
10-0598,NF002028,Pribilof,0.998489871,1.447710979,1,1,9,breeding,60.17833,-174.985,
10-0599,NF002029,StMatthew,0.99948366,0.144980701,1,1,9,breeding,60.17833,-174.985,
10-0612,NF002030,Semidi,0.999846169,-0.703728279,1,1,3,nonbreeding,55.31917,-163.65611,
10-0613,NF002031,StMatthew,0.996780149,-1.74373899,1,1,2,nonbreeding,59.07472,-174.96944,
10-0614,NF002032,StMatthew,0.99844702,0.182174596,1,1,2,nonbreeding,59.03611,-175.43667,
10-0615,NF002033,StMatthew,0.999342534,0.059780484,1,1,1,nonbreeding,56.83333,-167.66667,
10-0617,NF002035,StMatthew,0.999851599,0.389944794,1,1,3,nonbreeding,56.75305556,-155.2047222,
10-0618,NF002036,Chagulak,0.994347843,0.523371357,1,1,3,nonbreeding,51.64833,-178.23,
10-0619,NF002037,Semidi,0.99891741,-0.665234361,1,1,6,breeding,51.93611,-171.92611,
10-0620,NF002038,Semidi,0.996258459,-0.339615475,1,1,5,breeding,53.82556,-165.86694,
10-0621,NF002039,Semidi,0.999763277,0.901065044,1,1,5,breeding,53.82556,-165.86694,
10-0622,NF002040,Semidi,0.999668333,-0.805198595,1,1,5,breeding,53.82556,-165.86694,
10-0649,NF002044,Pribilof,0.999789722,-0.496848748,1,1,11,nonbreeding,56.85,-173.055,
